                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0814,                 2.8607,                 1.1845,                0.00567,                      1,                0.19147,                0.12245,                 0.5517,                  2.923,                0.97353,                 0.0964,                 0.0004,                 0.0004
                      1,                0.80746,                 2.6078,                 1.0673,                0.00567,                      1,                0.35138,                0.28857,                0.41698,                 2.8542,                 0.9107,                0.09187,              0.0008703,              0.0008703
                      2,                0.64392,                 2.3518,                  1.028,                0.00567,                      1,                0.62207,                0.48468,                0.46342,                 2.7742,                0.92845,               0.087308,              0.0013076,              0.0013076
                      3,                0.57384,                 2.0701,                0.95259,                0.00567,                      1,                 0.6831,                 0.5331,                0.45335,                 2.7174,                0.91758,               0.082712,              0.0017119,              0.0017119
                      4,                0.58997,                  1.822,                0.99321,                0.75541,                0.27298,                0.66931,                0.54595,                0.45787,                  2.668,                0.94283,               0.078083,              0.0020832,              0.0020832
                      5,                0.66402,                 1.6963,                 1.0424,                0.72128,                0.22883,                0.66902,                0.51034,                0.52055,                 2.6421,                0.96582,               0.073422,              0.0024215,              0.0024215
                      6,                0.62446,                 1.5238,                 1.0152,                0.82831,                0.42611,                0.62275,                 0.4824,                0.53788,                 2.6136,                0.99334,               0.068727,              0.0027268,              0.0027268
                      7,                0.54957,                 1.3206,                0.97106,                0.87923,                0.42867,                0.65994,                0.52454,                0.52255,                 2.5471,                0.97669,               0.063999,              0.0029991,              0.0029991
                      8,                0.58836,                 1.3886,                0.94778,                0.89133,                0.48287,                0.73947,                0.58825,                0.48192,                 2.4459,                0.94454,               0.059238,              0.0032384,              0.0032384
                      9,                0.62622,                 1.3967,                0.99384,                0.93773,                0.44305,                0.74658,                0.61174,                0.49748,                 2.4699,                 0.9412,               0.054445,              0.0034447,              0.0034447
                     10,                0.60748,                 1.2231,                0.99555,                0.97889,                0.41176,                0.68945,                0.57539,                0.50209,                 2.4638,                0.93848,               0.049618,               0.003618,               0.003618
                     11,                0.54135,                 1.0922,                0.97265,                0.90631,                0.56931,                0.68613,                0.58769,                0.53286,                 2.3326,                0.96735,               0.044758,              0.0037583,              0.0037583
                     12,                0.62633,                 1.2222,                0.96492,                0.89715,                0.64706,                0.75823,                0.63126,                0.52035,                 2.2491,                0.94577,               0.039866,              0.0038656,              0.0038656
                     13,                0.66676,                 1.2359,                0.98912,                0.93818,                0.64706,                0.76725,                0.65302,                0.54861,                 2.1438,                0.97347,                0.03494,              0.0039399,              0.0039399
                     14,                0.61846,                 1.0972,                0.97833,                0.85246,                0.67984,                0.81108,                0.67083,                0.52287,                  2.039,                0.94224,               0.029981,              0.0039812,              0.0039812
                     15,                0.57842,                 1.0215,                0.98398,                0.88144,                0.67647,                0.76975,                0.63015,                0.57652,                 2.0654,                0.97012,               0.024989,              0.0039895,              0.0039895
                     16,                 0.5084,                0.96949,                0.94794,                0.87785,                0.63443,                0.71275,                 0.5953,                0.60438,                  2.065,                0.98872,               0.019965,              0.0039648,              0.0039648
                     17,                0.62047,                 1.0394,                0.99468,                0.80662,                0.64706,                0.74471,                0.61872,                0.59562,                 1.9981,                0.97053,               0.014907,              0.0039071,              0.0039071
                     18,                0.58627,                 1.0155,                 0.9429,                0.84874,                0.66039,                0.69846,                0.58277,                0.60095,                 1.9659,                0.99694,              0.0098164,              0.0038164,              0.0038164
                     19,                0.62601,                 1.0561,                 0.9832,                0.84701,                0.70588,                0.77183,                 0.6302,                0.58908,                 1.7403,                0.96894,              0.0046927,              0.0036927,              0.0036927
                     20,                0.57975,                 1.0438,                0.95689,                0.81843,                0.70588,                0.74439,                0.60854,                0.63585,                 1.7374,                 1.0006,                 0.0034,                 0.0034,                 0.0034
                     21,                0.55817,                0.94872,                0.97633,                 0.7119,                0.65427,                0.62006,                0.50134,                0.64345,                 1.8563,                 1.0163,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.6097,                 1.0326,                  1.028,                0.76691,                0.61765,                 0.6585,                0.51927,                0.67974,                 1.8327,                 1.0288,                0.00307,                0.00307,                0.00307
                     23,                0.52411,                0.97047,                0.96571,                 0.8559,                  0.699,                0.75453,                0.63236,                0.66749,                 1.5891,                 1.0084,                0.00274,                0.00274,                0.00274
                     24,                0.59678,                 0.9428,                0.95099,                0.95003,                0.64706,                0.75913,                0.61957,                0.67755,                 1.5752,                 1.0047,                0.00241,                0.00241,                0.00241
                     25,                0.57068,                0.93812,                0.95134,                0.87337,                0.67647,                0.72207,                0.62485,                0.63523,                 1.6933,                 1.0023,                0.00208,                0.00208,                0.00208
                     26,                0.52119,                0.88008,                0.93329,                0.84442,                0.67647,                0.71303,                 0.6275,                0.61734,                 1.6991,                0.98375,                0.00175,                0.00175,                0.00175
                     27,                0.54931,                0.94849,                0.93603,                0.77778,                0.70588,                0.70593,                 0.6156,                0.61919,                 1.7354,                 0.9921,                0.00142,                0.00142,                0.00142
                     28,                0.56711,                0.91801,                0.98407,                0.73461,                0.64706,                0.69447,                0.60851,                0.60604,                 1.6716,                0.96392,                0.00109,                0.00109,                0.00109
                     29,                0.53138,                0.90978,                0.95558,                0.83541,                0.64706,                0.71094,                 0.6252,                0.58749,                 1.6321,                 0.9456,                0.00076,                0.00076,                0.00076
